State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
AL	S	Jeff	Sessions	R	795606	0.97252	W
AL	S		Scattered	W	22484	0.17371	
AK	S	Dan	Sullivan	R	135445	0.47962	W
AK	S	Mark	Begich	D	129431	0.45833	
AK	S	Mark S.	Fish	LIB	10512	0.03722	
AK	S	Ted	Gianoutsos	NAF	5636	0.01996	
AK	S		Scattered	W	1376	0.00487	
AR	S	Tom	Cotton	R	478819	0.56497	W
AR	S	Mark	Pryor	D	334174	0.39430	
AR	S	Nathan	LaFrance	LIB	17210	0.02031	
AR	S	Mark H.	Swaney	GRE	16797	0.01982	
AR	S	Scott	Pfleegor	W	505	0.00060	
CO	S	Cory	Gardner	R	983891	0.48205	W
CO	S	Mark	Udall	D	944203	0.46260	
CO	S	Gaylon	Kent	LIB	52876	0.02591	
CO	S	Steve	Shogan	UN	29472	0.01444	
CO	S	Rául	Acosta	UN	24151	0.01183	
CO	S	Bill	Hammons	UPC	6427	0.00315	
CO	S		Willoughby	W	21	0.00001	
CO	S	Kathleen Rosewater	Cunningham	W	17	0.00001	
DE	S	Christopher A.	Coons	D	130655	0.55826	W
DE	S	Kevin	Wade	R	98823	0.42225	
DE	S	Andrew	Groff	GRE	4560	0.01948	
GA	S	David Alfred	Perdue	R	1358088	0.52889	W
GA	S	Mary Michelle	Nunn	D	1160811	0.45206	
GA	S	Amanda C.	Swafford	LIB	48862	0.01903	
GA	S	Anantha Reddy	Muscu	W	21	0.00001	
GA	S	Mary H.	Schroder	W	14	0.00001	
GA	S	Brian Russell	Brown	W	9	0.00000	
HI	S - Unexpired Term	Brian	Schatz	D	246827	0.69770	W
HI	S - Unexpired Term	Cam	Cavasso	R	98006	0.27703	
HI	S - Unexpired Term	Michael	Kokoski	LIB	8941	0.02527	
ID	S	Jim	Risch	R	285596	0.65328	W
ID	S	Nels	Mitchell	D	151574	0.34672	
IL	S	Richard J.	Durbin	D	1929637	0.53549	W
IL	S	James D. "Jim"	Oberweis	R	1538522	0.42695	
IL	S	Sharon	Hansen	LIB	135316	0.03755	
IL	S	Roger K.	Davis	W	31	0.00001	
IL	S	Hilaire F.	Shioura	W	12	0.00000	
IL	S	Sherry	Procarione	W	1	0.00000	
IA	S	Joni	Ernst	R	588575	0.52100	W
IA	S	Bruce	Braley	D	494370	0.43761	
IA	S	Rick	Stewart	IND	26815	0.02374	
IA	S	Douglas	Butzier	LIB	8232	0.00729	
IA	S	Bob	Quast	BQT	5873	0.00520	
IA	S	Ruth	Smith	NNE	4724	0.00418	
IA	S		Scattered	W	1111	0.00098	
KS	S	Pat	Roberts	R	460350	0.53146	W
KS	S	Greg	Orman	IND	368372	0.42528	
KS	S	Randall	Batson	LIB	37469	0.04326	
KY	S	Mitch	McConnell	R	806787	0.56188	W
KY	S	Alison Lundergan	Grimes	D	584698	0.40721	
