State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
AL	01	Jo	Bonner	R	196374	0.97856	W
AL	01		Scattered	W	4302	0.02144	
AL	02	Martha	Roby	R	180591	0.63599	W
AL	02	Therese	Ford	D	103092	0.36306	
AL	02		Scattered	W	270	0.00095	
AL	03	Mike	Rogers	R	175306	0.63997	W
AL	03	John Andrew	Harris	D	98141	0.35827	
AL	03		Scattered	W	483	0.00176	
AL	04	Robert	Aderholt	R	199071	0.73972	W
AL	04	Daniel H.	Boman	D	69706	0.25902	
AL	04		Scattered	W	341	0.00127	
AL	05	Mo	Brooks	R	189185	0.64947	W
AL	05	Charlie L.	Holley	D	101772	0.34938	
AL	05		Scattered	W	336	0.00115	
AL	06	Spencer	Bachus	R	219262	0.71165	W
AL	06	Penny "Colonel"	Bailey	D	88267	0.28649	
AL	06		Scattered	W	573	0.00186	
AL	07	Terri A.	Sewell	D	232520	0.75849	W
AL	07	Don	Chamberlain	R	73835	0.24085	
AL	07		Scattered	W	203	0.00066	
AK	00	Don	Young	R	185296	0.63938	W
AK	00	Sharon M.	Cissna	D	82927	0.28615	
AK	00	Jim C.	McDermott	LIB	15028	0.05186	
AK	00	Ted	Gianoutsos	NAF	5589	0.01929	
AK	00		Scattered	W	964	0.00333	
AS	00	Eni F.H.	Faleomavaega	D	7221	0.55223	W
AS	00	Aumua	Amata	CON	4420	0.33802	
AS	00	Rosie F. Tago	Lancaster	IND	697	0.05330	
AS	00	Kereti, Jr.	Mata'utia	D	438	0.03350	
AS	00	Fatumalala Leulua'iali'i A.	Al-Sheri	NPA	300	0.02294	
AZ	01	Ann	Kirkpatrick	D	122774	0.48798	W
AZ	01	Jonathan	Paton	R	113594	0.45150	
AZ	01	Kim	Allen	W(LIB)/LIB	15227	0.06052	
AZ	02	Ron	Barber	D	147338	0.50410	W
AZ	02	Martha	McSally	R	144884	0.49570	
AZ	02	Anthony	Prowell	W	57	0.00020	
AZ	03	Raúl M.	Grijalva	D	98468	0.58369	W
AZ	03	Gabriela	Saucedo Mercer	R	62663	0.37145	
AZ	03	Blanca	Guerra	LIB	7567	0.04486	
AZ	04	Raul	Gosar	R	162907	0.66831	W
AZ	04	Johnnie	Robinson	D	69154	0.28370	
AZ	04	Joe	Pamelia	LIB	9306	0.03818	
AZ	04	Richard	Grayson	W(AE)/AE	2393	0.00982	
AZ	05	Matt	Salmon	R	183470	0.67191	W
AZ	05	Spencer	Morgan	D	89589	0.32809	
AZ	06	David	Schweikert	R	179706	0.61296	W
AZ	06	Matt	Jette	D	97666	0.33313	
AZ	06	Jack	Anderson	LIB	10167	0.03468	
AZ	06	Mark	Salazar	W(GRE)/GRE	5637	0.01923	
AZ	06	James	Ketover	W	1	0.00000	
AZ	07	Ed	Pastor	D	104489	0.81743	W
AZ	07	Joe	Cobb	LIB	23338	0.18257	
AZ	08	Trent	Franks	R	172809	0.63348	W
AZ	08	Gene	Scharer	D	95635	0.35058	
AZ	08	Stephen	Dolgos	AE	4347	0.01594	
AZ	09	Kyrsten	Sinema	D	121881	0.48730	W
AZ	09	Vernon B.	Parker	R	111630	0.44630	
AZ	09	Powell	Gammill	W(LIB)/LIB	16620	0.06640	
AZ	S	Jeff	Flake	R	1104457	0.49230	W
AZ	S	Richard	Carmona	D	1036542	0.46200	
AZ	S	Marc	Victor	W(LIB)/LIB	102109	0.04550	
AZ	S	Stephen	Watts	W	290	0.00010	
AR	01	Rick	Crawford	R	138800	0.56230	W
AR	01	Scott	Ellington	D	96601	0.39135	
AR	01	Jessica	Paxton	LIB	6427	0.02604	
AR	01	Jacob	Holloway	GRE	5015	0.02032	
AR	02	Tim	Griffin	R	158175	0.55191	W
AR	02	Herb	Rule	D	113156	0.39482	
AR	02	Barbara	Ward	GRE	8566	0.02989	
AR	02	Chris	Hayes	LIB	6701	0.02338	
AR	03	Steve	Womack	R	186467	0.75905	W
AR	03	Rebekah	Kennedy	GRE	39318	0.16005	
AR	03	David	Pangrac	LIB	19875	0.08090	
AR	04	Tom	Cotton	R	154149	0.59528	W
AR	04	Gene	Jeffress	D	95013	0.36691	
AR	04	Bobby	Tullis	LIB	4984	0.01925	
AR	04	J. Joshua	Drake	GRE	4807	0.01856	
CA	01	Doug	La Malfa	R	168827	0.57383	W
CA	01	Jim	Reed	D	125386	0.42617	
CA	02	Jared	Huffman	D	226216	0.71243	W
CA	02	Daniel W.	Roberts	R	91310	0.28757	
CA	03	John	Garamendi	D	126882	0.54230	W
CA	03	Kim	Vann	R	107086	0.45770	
CA	04	Tom	McClintock	R	197803	0.61109	W
CA	04	Jack	Uppal	D	125885	0.38891	
CA	05	Mike	Thompson	D	202872	0.74471	W
CA	05	Randy	Loftin	R	69545	0.25529	
CA	06	Doris	Matsui	D	160667	0.75052	W
CA	06	Joseph, Sr.	McRay	R	53406	0.24948	
CA	07	Ami	Bera	D	141241	0.51682	W
CA	07	Dan	Lungren	R	132050	0.48318	
CA	08	Paul	Cook	R	103093	0.57387	W
CA	08	Gregg	Imus	R	76551	0.42613	
CA	09	Jerry	McNerney	D	118373	0.55554	W
CA	09	Ricky	Gill	R	94704	0.44446	
CA	10	Jeff	Denham	R	110265	0.52708	W
CA	10	Jose	Hernandez	D	98934	0.47292	
CA	11	George	Miller	D	200743	0.69732	W
CA	11	Virginia	Fuller	R	87136	0.30268	
CA	12	Nancy	Pelosi	D	253709	0.85084	W
CA	12	John	Dennis	R	44478	0.14916	
CA	13	Barbara	Lee	D	250436	0.86782	W
CA	13	Marilyn M.	Singleton	NOP	38146	0.13218	
CA	14	Jackie	Speier	D	203828	0.78917	W
CA	14	Deborah (Debbie)	Bacigalupi	R	54455	0.21083	
CA	15	Eric	Swalwell	D	120388	0.52108	W
CA	15	Fortney Pete	Stark	D	110646	0.47892	
CA	16	Jim	Costa	D	84649	0.57409	W
CA	16	Brian Daniel	Whelan	R	62801	0.42591	
CA	17	Mike	Honda	D	159392	0.73545	W
CA	17	Evelyn	Li	R	57336	0.26455	
CA	18	Anna G.	Eshoo	D	212831	0.70489	W
CA	18	Dave	Chapman	R	89103	0.29511	
CA	19	Zoe	Lofgren	D	162300	0.73236	W
CA	19	Robert	Murray	R	59313	0.26764	
CA	20	Sam	Farr	D	172996	0.74069	W
CA	20	Jeff	Taylor	R	60566	0.25931	
CA	21	David G.	Valadao	R	67164	0.57759	W
CA	21	John	Hernandez	D	49119	0.42241	
CA	22	Devin G.	Nunes	R	132386	0.61880	W
CA	22	Otto	Lee	D	81555	0.38120	
CA	23	Kevin	McCarthy	R	158161	0.73222	W
CA	23	Terry	Phillips	NOP	57842	0.26778	
CA	24	Lois	Capps	D	156749	0.55097	W
CA	24	Abel	Maldonado	R	127746	0.44903	
CA	25	Howard P. "Buck"	McKeon	R	129593	0.54779	W
CA	25	Lee C.	Rogers	D	106982	0.45221	
CA	26	Julia	Brownley	D	139072	0.52692	W
CA	26	Tony	Strickland	R	124863	0.47308	
CA	27	Judy	Chu	D	154191	0.63978	W
CA	27	Jack	Orswell	R	86817	0.36022	
CA	28	Adam	Schiff	D	188703	0.76487	W
CA	28	Phil	Jennerjahn	R	58008	0.23513	
CA	29	Tony	Cárdenas	D	111287	0.74053	W
CA	29	David R.	Hernandez	NOP	38994	0.25947	
CA	30	Brad	Sherman	D	149456	0.60301	W
CA	30	Howard L.	Berman	D	98395	0.39699	
CA	31	Gary G.	Miller	R	88964	0.55182	W
CA	31	Bob	Dutton	R	72255	0.44818	
CA	32	Grace F.	Napolitano	D	124903	0.65700	W
CA	32	David L.	Miller	R	65208	0.34300	
CA	33	Henry A.	Waxman	D	171860	0.53956	W
CA	33	Bill	Bloomfield	NOP	146660	0.46044	
CA	34	Xavier	Becerra	D	120367	0.85616	W
CA	34	Stephen C.	Smith	R	20223	0.14384	
CA	35	Gloria Negrete	McLeod	D	79698	0.55858	W
CA	35	Joe	Baca	D	62982	0.44142	
CA	36	Raul	Ruiz	D	110189	0.52939	W
CA	36	Mary Bono	Mack	R	97953	0.47061	
CA	37	Karen R.	Bass	D	207039	0.86417	W
CA	37	Morgan	Osborne	W(R)/R	32541	0.13583	
CA	38	Linda T.	Sánchez	D	145280	0.67545	W
CA	38	Benjamin	Campos	R	69807	0.32455	
CA	39	Ed	Royce	R	145607	0.57788	W
CA	39	Jay	Chen	D	106360	0.42212	
CA	40	Lucille	Roybal-Allard	D	73940	0.58891	W
CA	40	David	Sanchez	D	51613	0.41109	
CA	41	Mark	Takano	D	103578	0.58968	W
CA	41	John	Tavaglione	R	72074	0.41032	
CA	42	Ken	Calvert	R	130245	0.60594	W
CA	42	Michael	Williamson	D	84702	0.39406	
CA	43	Maxine	Waters	D	143123	0.71243	W
CA	43	Bob	Flores	D	57771	0.28757	
CA	44	Janice	Hahn	D	99909	0.60223	W
CA	44	Laura	Richardson	D	65989	0.39777	
CA	45	John	Campbell	R	171417	0.58458	W
CA	45	Sukhee	Kang	D	121814	0.41542	
CA	46	Loretta	Sanchez	D	95694	0.63875	W
CA	46	Jerry	Hayden	R	54121	0.36125	
CA	47	Alan	Lowenthal	D	130093	0.56559	W
CA	47	Gary	DeLong	R	99919	0.43441	
CA	48	Dana	Rohrabacher	R	177144	0.60979	W
CA	48	Ron	Varasteh	D	113358	0.39021	
CA	49	Darrell	Issa	R	159725	0.58163	W
CA	49	Jerry	Tetalman	D	114893	0.41837	
CA	50	Duncan D.	Hunter	R	174838	0.67690	W
