State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
AL	01	Jo	Bonner	REP	129063	0.82584	
AL	01	David	Walter	CPA	26357	0.16865	
AL	01		Scattered	W	861	0.00551	
AL	02	Martha	Roby	REP	111645	0.50973	
AL	02	Bobby	Bright	DEM	106865	0.48791	
AL	02		Scattered	W	518	0.00236	
AL	03	Mike	Rogers	REP	117736	0.59421	
AL	03	Steve	Segrest	DEM	80204	0.40479	
AL	03		Scattered	W	199	0.00100	
AL	04	Robert	Aderholt	REP	167714	0.98817	
AL	04		Scattered	W	2007	0.01183	
AL	05	Mo	Brooks	REP	131109	0.57887	
AL	05	Steve	Raby	DEM	95192	0.42029	
AL	05		Scattered	W	189	0.00083	
AL	06	Spencer	Bachus	REP	205288	0.98053	
AL	06		Scattered	W	4076	0.01947	
AL	07	Terri A.	Sewell	DEM	136696	0.72432	
AL	07	Don	Chamberlain	REP	51890	0.27495	
AL	07		Scattered	W	138	0.00073	
AL	S	Richard C.	Shelby	REP	968181	0.65175	
AL	S	William G.	Barnes	DEM	515619	0.34710	
AL	S		Scattered	W	1699	0.00114	
AK	00	Don	Young	REP	175384	0.68958	
AK	00	Harry T., Jr.	Crawford	DEM	77606	0.30513	
AK	00		Scattered	W	1345	0.00529	
AK	S	Lisa	Murkowski	REP/W***	92931	0.36084	
AK	S	Joe	Miller	REP	90839	0.35272	
AK	S	Scott T.	McAdams	DEM	60045	0.23315	
AK	S		Murkowski	W (Challenged Counted)	8160	0.03168	
AK	S		Murkowski	W (Challenged NOT Counted)	2035	0.00790	
AK	S	Fredrick "David"	Haase	LIB	1459	0.00567	
AK	S	Tim	Carter	NAF	927	0.00360	
AK	S		Other - Misc. Names	W	602	0.00234	
AK	S	Ted	Gianoutsos	NAF	458	0.00178	
AK	S	Joe	Miller	W	21	0.00008	
AK	S	Sid	Hill	W	13	0.00005	
AK	S		McAdams	W	8	0.00003	
AK	S	Edward D.	Marin Jr.	W	6	0.00002	
AK	S	Red K.	Bradley	W	3	0.00001	
AK	S	Guy A.	Cummins	W	2	0.00001	
AK	S	Lisa M.	Lackey	W	2	0.00001	
AK	S	Richard	McGahan	W	2	0.00001	
AK	S	Marvin Roger	Moser	W	2	0.00001	
AK	S	Karen	Perry	W	2	0.00001	
AK	S	Eileen M.	Ransom	W	2	0.00001	
AK	S	Jed	Whittaker	W	2	0.00001	
AK	S	Michael	Ames	W	1	0.00000	
AK	S	Kevin	Austin	W	1	0.00000	
AK	S	David E.	Beeman	W	1	0.00000	
AK	S	Vicky L.	Beeman	W	1	0.00000	
AK	S	David	Boyle	W	1	0.00000	
AK	S	Michael	Butler	W	1	0.00000	
AK	S	Margaret A.	Crowell	W	1	0.00000	
AK	S	Chris S.	Dillingham	W	1	0.00000	
AK	S	David S.	George	W	1	0.00000	
AK	S	Alan D.	Humphries	W	1	0.00000	
AK	S	Petter M.	Johnson	W	1	0.00000	
AK	S	Eric C.	Kelly	W	1	0.00000	
AK	S	Bill	Klemme	W	1	0.00000	
AK	S	Marjori	Landis-Beck	W	1	0.00000	
AK	S	Anthony	Rice	W	1	0.00000	
AK	S	Thompson	Steve	W	1	0.00000	
AK	S	Georgia Lee	Tolbert	W	1	0.00000	
AS	00	Eni F.H.	Faleomavaega	DEM	6182	0.56405	
AS	00	Aumua	Amata	REP	4422	0.40347	
AS	00	Tuika	Tuika	NNE	356	0.03248	
AZ	01	Paul	Gosar	REP	112816	0.49717	
AZ	01	Ann	Kirkpatrick	DEM	99233	0.43731	
AZ	01	Nicole	Patti	W(LIB)/LIB	14869	0.06553	
AZ	02	Trent	Franks	REP	173173	0.64885	
AZ	02	John	Thrasher	DEM	82891	0.31058	
AZ	02	Powell	Gammill	LIB	10820	0.04054	
AZ	02	Crum	William	W	8	0.00003	
AZ	02	Mark	Rankin	W	2	0.00001	
AZ	03	Ben	Quayle	REP	108689	0.52236	
AZ	03	Jon	Hulburd	DEM	85610	0.41145	
AZ	03	Michael	Shoen	LIB	10478	0.05036	
AZ	03	Leonard	Clark	W(GRE)/GRE	3294	0.01583	
AZ	04	Ed	Pastor	DEM	61524	0.66942	
AZ	04	Janet	Contreras	REP	25300	0.27528	
AZ	04	Joe	Cobb	LIB	2718	0.02957	
AZ	04	Rebecca	Dewitt	GRE	2365	0.02573	
AZ	05	David	Schweikert	REP	110374	0.52002	
AZ	05	Harry	Mitchell	DEM	91749	0.43227	
AZ	05	Nick	Coons	LIB	10127	0.04771	
AZ	06	Jeff	Flake	REP	165649	0.66424	
AZ	06	Rebecca	Schneider	DEM	72615	0.29118	
AZ	06	Darell	Tapp	W(LIB)/LIB	7712	0.03092	
AZ	06	Richard	Grayson	W(GRE)/GRE	3407	0.01366	
AZ	07	Raúl M.	Grijalva	DEM	79935	0.50228	
AZ	07	Ruth	McClung	REP	70385	0.44227	
AZ	07	Harley	Myer	IND	4506	0.02831	
AZ	07	George	Keane	LIB	4318	0.02713	
AZ	08	Gabrielle	Giffords	DEM	138280	0.48763	
AZ	08	Jesse	Kelly	REP	134124	0.47297	
AZ	08	Steven	Stoltz	LIB	11174	0.03940	
AZ	S	John	McCain	REP	1005615	0.58860	
AZ	S	Rodney	Glassman	DEM	592011	0.34651	
AZ	S	David F.	Nolan	LIB	80097	0.04688	
AZ	S	Jerry	Joslyn	GRE	24603	0.01440	
AZ	S	Ian	Gilyeat	W	5938	0.00348	
AZ	S	Loyd	Ellis	W	160	0.00009	
AZ	S	Santos	Chavez	W	39	0.00002	
AZ	S	Sydney	Dudikoff	W	14	0.00001	
AZ	S	Ray J.	Caplette	W	7	0.00000	
AR	01	Rick	Crawford	REP	93224	0.51787	
AR	01	Chad	Causey	DEM	78267	0.43478	
AR	01	Ken	Adler	GRE	8320	0.04622	
AR	01	Mickey	Higgins	W	196	0.00109	
AR	01		Scattered	W	9	0.00005	
AR	02	Tim	Griffin	REP	122091	0.57904	
AR	02	Joyce	Elliott	DEM	80687	0.38267	
AR	02	Lance	Levi	IND	4421	0.02097	
AR	02	Lewis	Kennedy	GRE	3599	0.01707	
AR	02		Scattered	W	40	0.00019	
AR	02	Danial	Suits	W	14	0.00007	
AR	03	Steve	Womack	REP	148581	0.72435	
AR	03	David	Whitaker	DEM	56542	0.27565	
AR	04	Mike	Ross	DEM	102479	0.57529	
AR	04	Beth Anne	Rankin	REP	71526	0.40153	
AR	04	Josh	Drake	GRE	4129	0.02318	
AR	S	John	Boozman	REP	451618	0.57903	
AR	S	Blanche Lambert	Lincoln	DEM	288156	0.36945	
AR	S	Trevor	Drown	IND	25234	0.03235	
AR	S	John Laney, III	Gray	GRE	14430	0.01850	
AR	S		Scattered	W	376	0.00048	
AR	S	Stephan "Troublemaker"	Hercher	W	143	0.00018	
CA	01	Mike	Thompson	DEM	147307	0.62793	
CA	01	Loren	Hanks	REP	72803	0.31034	
CA	01	Carol	Wolman	GRE	8486	0.03617	
CA	01	Mike	Rodrigues	LIB	5996	0.02556	
CA	02	Wally	Herger	REP	130837	0.57149	
CA	02	Jim	Reed	DEM	98092	0.42846	
CA	02	Mark A.	Jensen	W	11	0.00005	
CA	03	Dan	Lungren	REP	131169	0.50076	
CA	03	Ami	Bera	DEM	113128	0.43189	
CA	03	Jerry L.	Leidecker	AIP	6577	0.02511	
CA	03	Douglas Arthur	Tuma	LIB	6275	0.02396	
CA	03	Mike	Roskey	PAF	4789	0.01828	
CA	04	Tom	McClintock	REP	186397	0.61269	
CA	04	Clint	Curtis	DEM	95653	0.31441	
CA	04	Benjamin "Ben"	Emery	GRE	22179	0.07290	
CA	05	Doris	Matsui	DEM	124220	0.72049	
CA	05	Paul A.	Smith	REP	43577	0.25275	
CA	05	Gerald Allen	Frink	PAF	4594	0.02665	
CA	05	Tony	Lacy	W	19	0.00011	
CA	06	Lynn C.	Woolsey	DEM	172216	0.65945	
CA	06	Jim	Judd	REP	77361	0.29623	
CA	06	Eugene E.	Ruyle	PAF	5915	0.02265	
CA	06	Joel	Smollen	LIB	5660	0.02167	
CA	07	George	Miller	DEM	122118	0.68254	
CA	07	Rick	Tubbs	REP	56798	0.31746	
CA	08	Nancy	Pelosi	DEM	167957	0.80073	
CA	08	John	Dennis	REP	31771	0.15147	
CA	08	Gloria E.	La Riva	PAF	5161	0.02460	
CA	08	Philip	Berg	LIB	4843	0.02309	
CA	08	Summer	Shields	W	24	0.00011	
CA	09	Barbara	Lee	DEM	180400	0.84266	
CA	09	Gerald	Hashimoto	REP	23054	0.10769	
CA	09	Dave	Heller	GRE	4848	0.02265	
CA	09	James	Eyer	LIB	4113	0.01921	
CA	09	Larry	Allen	PAF	1670	0.00780	
CA	10	John	Garamendi	DEM	137578	0.58843	
CA	10	Gary	Clift	REP	88512	0.37857	
CA	10	Jeremy	Cloward	GRE	7716	0.03300	
CA	11	Jerry	McNerney	DEM	115361	0.47967	
CA	11	David	Harmer	REP	112703	0.46861	
CA	11	David	Christensen	AIP	12439	0.05172	
CA	12	Jackie	Speier	DEM	152044	0.75583	
CA	12	Mike	Moloney	REP	44475	0.22109	
